Title,Authors,Subjects,Bookshelves,Read online (web)
Mont-Saint-Michel and Chartres,"Adams, Henry","Civilization, Medieval ; Mont-Saint-Michel (Abbey : France) ; Cathédrale de Chartres ; DC",Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: History - Medieval/The Middle Ages,https://www.gutenberg.org/ebooks/4584.html.images
Les conteurs à la ronde,"Dickens, Charles","Short stories, English -- Translations into French ; PR ; English fiction -- Translations into French",FR Nouvelles; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/16022.html.images
"Motion Picture Operation, Stage Electrics and Illusions
A Practical Hand-book and Guide for Theater Electricians, Motion Picture Operators and Managers of Theaters and Productions","Tousley, Victor H. (Victor Hugo) ; Horstmann, Henry Charles","Electric wiring, Interior ; Motion picture theaters ; PN ; Motion picture projection",Browsing: Engineering & Construction; Browsing: Language & Communication; Browsing: Performing Arts/Film,https://www.gutenberg.org/ebooks/45231.html.images
"Young Auctioneers; Or, The Polishing of a Rolling Stone","Stratemeyer, Edward",Auctioneers -- Juvenile fiction ; Auctions -- Juvenile fiction ; PZ,Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/31140.html.images
Mrs. Dot: A Farce,"Maugham, W. Somerset (William Somerset)",PR ; Triangles (Interpersonal relations) -- Drama ; Widows -- Drama ; English drama -- 20th century,Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/50820.html.images
"Marion Harland's Cookery for Beginners
A Series of Familiar Lessons for Young Housekeepers","Harland, Marion","TX ; Cooking, American",Browsing: Cooking & Drinking; Browsing: Culture/Civilization/Society,https://www.gutenberg.org/ebooks/49155.html.images
"""My Novel"" — Volume 07","Lytton, Edward Bulwer Lytton, Baron",Germany -- Fiction ; England -- Fiction ; Rhine River -- Fiction ; Death -- Fiction ; Inventors -- Fiction ; Poets -- Fiction ; PR ; Domestic fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/7708.html.images
The Mirror of the Sea,"Conrad, Joseph","Seafaring life ; G ; PR ; Conrad, Joseph, 1857-1924 -- Travel",Browsing: Biographies; Browsing: Culture/Civilization/Society; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/1058.html.images
Life and Treason of Benedict Arnold,"Sparks, Jared","E151 ; American loyalists -- Biography ; United States -- History -- Revolution, 1775-1783 ; Arnold, Benedict, 1741-1801 ; United States. Continental Army -- Biography ; Generals -- United States -- Biography",Browsing: Biographies; Browsing: History - American,https://www.gutenberg.org/ebooks/49500.html.images
"Iracema
com uma noticia biographica do auctor","Alencar, José Martiniano de",PQ ; Tupi Indians -- Fiction ; Race relations -- Fiction ; Brazil -- Social life and customs -- 16th century -- Fiction ; Indians of South America -- Brazil -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/67740.html.images
